"Subject","Complement_type","Itemnum","LexTALE_score","rating","zrating","group","cen","nor"
"31","S","270",93.75,7,0.778343656386667,"L1_English",22.2219222462203,1.52017108641366
"31","Z","271",93.75,7,0.778343656386667,"L1_English",22.2219222462203,1.52017108641366
"31","S","272",93.75,7,0.778343656386667,"L1_English",22.2219222462203,1.52017108641366
"31","Z","273",93.75,7,0.778343656386667,"L1_English",22.2219222462203,1.52017108641366
"31","S","274",93.75,7,0.778343656386667,"L1_English",22.2219222462203,1.52017108641366
"31","Z","275",93.75,7,0.778343656386667,"L1_English",22.2219222462203,1.52017108641366
"31","S","276",93.75,7,0.778343656386667,"L1_English",22.2219222462203,1.52017108641366
"31","Z","277",93.75,7,0.778343656386667,"L1_English",22.2219222462203,1.52017108641366
"31","S","278",93.75,6,0.222383901824762,"L1_English",22.2219222462203,1.52017108641366
"31","Z","279",93.75,7,0.778343656386667,"L1_English",22.2219222462203,1.52017108641366
"34","S","42",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"34","Z","43",100,6,0.222383901824762,"L1_English",28.4719222462203,1.94772497598329
"34","S","44",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"34","Z","45",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"34","S","46",100,6,0.222383901824762,"L1_English",28.4719222462203,1.94772497598329
"34","Z","47",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"34","S","48",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"34","Z","49",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"34","S","50",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"34","Z","51",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"2","Z","213",92.5,1,-2.55741487098476,"L1_English",20.9719222462203,1.43466030849973
"2","S","214",92.5,7,0.778343656386667,"L1_English",20.9719222462203,1.43466030849973
"2","Z","215",92.5,7,0.778343656386667,"L1_English",20.9719222462203,1.43466030849973
"2","S","216",92.5,7,0.778343656386667,"L1_English",20.9719222462203,1.43466030849973
"2","Z","217",92.5,7,0.778343656386667,"L1_English",20.9719222462203,1.43466030849973
"2","S","218",92.5,7,0.778343656386667,"L1_English",20.9719222462203,1.43466030849973
"2","Z","219",92.5,5,-0.333575852737143,"L1_English",20.9719222462203,1.43466030849973
"2","S","220",92.5,7,0.778343656386667,"L1_English",20.9719222462203,1.43466030849973
"2","S","221",92.5,7,0.778343656386667,"L1_English",20.9719222462203,1.43466030849973
"2","Z","222",92.5,7,0.778343656386667,"L1_English",20.9719222462203,1.43466030849973
"28","Z","327",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"28","S","328",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"28","Z","329",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"28","S","330",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"28","Z","331",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"28","S","332",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"28","Z","333",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"28","S","334",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"28","S","335",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"28","Z","336",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"5","Z","327",100,6,0.222383901824762,"L1_English",28.4719222462203,1.94772497598329
"5","S","328",100,3,-1.44549536186095,"L1_English",28.4719222462203,1.94772497598329
"5","Z","329",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"5","S","330",100,6,0.222383901824762,"L1_English",28.4719222462203,1.94772497598329
"5","Z","331",100,6,0.222383901824762,"L1_English",28.4719222462203,1.94772497598329
"5","S","332",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"5","Z","333",100,6,0.222383901824762,"L1_English",28.4719222462203,1.94772497598329
"5","S","334",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"5","S","335",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"5","Z","336",100,6,0.222383901824762,"L1_English",28.4719222462203,1.94772497598329
"32","S","42",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"32","Z","43",100,1,-2.55741487098476,"L1_English",28.4719222462203,1.94772497598329
"32","S","44",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"32","Z","45",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"32","S","46",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"32","Z","47",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"32","S","48",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"32","Z","49",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"32","S","50",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"32","Z","51",100,6,0.222383901824762,"L1_English",28.4719222462203,1.94772497598329
"11","Z","213",100,1,-2.55741487098476,"L1_English",28.4719222462203,1.94772497598329
"11","S","214",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"11","Z","215",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"11","S","216",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
"11","Z","217",100,7,0.778343656386667,"L1_English",28.4719222462203,1.94772497598329
